5.00E+08,-9.91E+01,-1.49E+02
5.08E+08,-1.14E+02,1.78E+02
5.15E+08,-9.57E+01,-1.04E+02
5.23E+08,-1.03E+02,-1.49E+02
5.30E+08,-1.01E+02,-4.21E+01
5.38E+08,-1.10E+02,6.26E+01
5.45E+08,-1.08E+02,1.29E+02
5.53E+08,-1.09E+02,-1.55E+01
5.60E+08,-1.27E+02,-4.01E+00
5.68E+08,-1.06E+02,7.87E+00
5.75E+08,-1.02E+02,-2.37E+01
5.83E+08,-1.07E+02,-9.94E+01
5.90E+08,-1.03E+02,-1.15E+02
5.98E+08,-1.06E+02,6.78E+01
6.05E+08,-1.01E+02,3.51E+01
6.13E+08,-9.74E+01,6.19E+01
6.20E+08,-1.03E+02,-1.64E+02
6.28E+08,-1.07E+02,1.52E+02
6.35E+08,-1.03E+02,-1.52E+02
6.43E+08,-1.04E+02,1.56E+02
6.50E+08,-1.11E+02,1.04E+02
6.58E+08,-1.06E+02,-7.19E+01
6.65E+08,-1.18E+02,9.12E+01
6.73E+08,-9.99E+01,1.60E+02
6.80E+08,-9.93E+01,8.61E+01
6.88E+08,-1.02E+02,1.49E+02
6.95E+08,-9.82E+01,2.53E+01
7.03E+08,-9.25E+01,1.39E+01
7.10E+08,-8.31E+01,-2.27E+01
7.18E+08,-7.77E+01,-6.57E+01
7.25E+08,-7.12E+01,-1.09E+02
7.33E+08,-6.51E+01,-1.56E+02
7.40E+08,-6.00E+01,1.49E+02
7.48E+08,-5.66E+01,9.09E+01
7.55E+08,-5.44E+01,3.78E+01
7.63E+08,-5.25E+01,-1.26E+01
7.70E+08,-5.21E+01,-6.14E+01
7.78E+08,-5.18E+01,-1.01E+02
7.85E+08,-5.12E+01,-1.34E+02
7.93E+08,-5.01E+01,-1.69E+02
8.00E+08,-4.91E+01,1.57E+02
8.08E+08,-4.75E+01,1.27E+02
8.15E+08,-4.52E+01,9.05E+01
8.23E+08,-4.36E+01,4.99E+01
8.30E+08,-4.23E+01,1.03E+01
8.38E+08,-4.13E+01,-3.37E+01
8.45E+08,-4.14E+01,-7.75E+01
8.53E+08,-4.20E+01,-1.14E+02
8.60E+08,-4.22E+01,-1.49E+02
8.68E+08,-4.21E+01,1.78E+02
8.75E+08,-4.13E+01,1.44E+02
8.83E+08,-4.06E+01,1.03E+02
8.90E+08,-4.03E+01,6.21E+01
